epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.20314,1.92866,4.80132,1.83955,0,0,0,0,2.2924,4.35546,1.89132,0,0,0
2,8.36078,2.21296,4.87809,1.749,0,0,0,0,2.32882,4.36208,1.8962,7.53774e-06,7.53774e-06,7.53774e-06
3,12.6667,1.88559,4.78081,1.73289,0,0,0,0,2.31696,4.3538,1.93695,1.4771e-05,1.4771e-05,1.4771e-05
4,16.9928,1.89599,4.85253,1.85073,0,0,0,0,2.22639,4.35139,1.86691,2.16996e-05,2.16996e-05,2.16996e-05
5,21.2107,1.99996,4.84243,1.82381,0,0,0,0,2.15611,4.32698,1.81483,2.83238e-05,2.83238e-05,2.83238e-05
6,25.2935,1.98528,5.34477,1.86419,0,0,0,0,2.09962,4.30794,1.79067,3.46435e-05,3.46435e-05,3.46435e-05
7,29.3328,1.51921,4.75981,1.47794,0,0,0,0,2.0619,4.26975,1.77869,4.06586e-05,4.06586e-05,4.06586e-05
8,32.9735,1.93172,4.56141,1.77732,0.00494,0.13333,0.0042,0.00159,2.09749,4.30978,1.80641,4.63692e-05,4.63692e-05,4.63692e-05
9,36.7364,1.80724,4.80678,1.54348,0.00786,0.23333,0.00978,0.00416,2.11559,4.31921,1.84919,5.17752e-05,5.17752e-05,5.17752e-05
10,41.0652,1.52492,4.53441,1.27676,0.00985,0.3,0.02139,0.00778,2.1535,4.30252,1.82951,5.68768e-05,5.68768e-05,5.68768e-05
11,45.018,1.77851,4.38077,1.44307,0.01286,0.4,0.06331,0.01867,2.34945,4.21325,2.06547,6.16738e-05,6.16738e-05,6.16738e-05
12,48.9902,1.5778,4.3266,1.50088,0.01088,0.33333,0.10578,0.03277,2.40571,4.17222,2.2135,6.61663e-05,6.61663e-05,6.61663e-05
13,52.7382,1.85766,4.64633,1.61947,0.01296,0.4,0.12163,0.03896,2.44133,4.11895,2.20425,7.03543e-05,7.03543e-05,7.03543e-05
14,56.9099,1.69172,4.39733,1.3331,0.0131,0.4,0.16962,0.06374,2.38481,4.1383,2.04897,7.42377e-05,7.42377e-05,7.42377e-05
15,61.0714,1.56351,4.34234,1.412,0.01039,0.33333,0.16703,0.06606,2.34269,4.16485,1.89519,7.78166e-05,7.78166e-05,7.78166e-05
16,65.2236,1.21752,4.05602,1.21797,0.01151,0.33333,0.17385,0.06861,2.3576,4.14074,1.84246,8.10911e-05,8.10911e-05,8.10911e-05
17,69.1414,1.51603,4.2868,1.3572,0.01139,0.33333,0.1702,0.06647,2.36057,4.1256,1.83007,8.40609e-05,8.40609e-05,8.40609e-05
18,73.055,1.79196,4.1198,1.52828,0.01139,0.33333,0.1702,0.06647,2.36057,4.1256,1.83007,8.67263e-05,8.67263e-05,8.67263e-05
