epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.769,2.76437,14.8431,2.29069,0.30471,0.03571,0.01579,0.00465,2.51724,30.5561,1.76307,2.142e-05,2.142e-05,2.142e-05
2,178.957,2.6443,7.77656,2.13065,0.73103,0.03571,0.04313,0.00971,2.52183,12.8217,1.84213,4.94852e-05,4.94852e-05,4.94852e-05
3,249.663,2.49938,6.07514,2.09706,0.65735,0.14286,0.12888,0.05633,2.52141,17.1101,1.94816,7.69849e-05,7.69849e-05,7.69849e-05
4,314.23,2.43717,5.33116,2.06846,0.85323,0.24026,0.27299,0.08912,2.47661,9.91594,1.94577,0.000103919,0.000103919,0.000103919
5,381.489,2.16201,3.85404,1.7971,0.6059,0.26231,0.33235,0.10663,2.47074,7.63128,1.90278,0.000130288,0.000130288,0.000130288
6,447.633,2.24907,3.84816,1.89118,0.80599,0.33615,0.41878,0.1272,2.45866,6.61539,1.88831,0.000156091,0.000156091,0.000156091
7,515.782,2.09966,3.56789,1.68963,0.64669,0.34623,0.41695,0.15237,2.48084,5.84002,1.90124,0.000181329,0.000181329,0.000181329
8,582.782,1.97078,3.35603,1.62209,0.52511,0.41667,0.38445,0.13602,2.51821,5.155,1.88595,0.000206001,0.000206001,0.000206001
9,655.062,2.02584,2.86833,1.68056,0.58912,0.41789,0.48263,0.19081,2.45431,4.61135,1.93956,0.000230108,0.000230108,0.000230108
10,720.235,1.96536,2.87142,1.65149,0.59346,0.42956,0.50647,0.20843,2.23087,4.69257,1.84851,0.000253649,0.000253649,0.000253649
11,785.63,1.90561,2.63281,1.55888,0.19785,0.65081,0.37362,0.16061,2.27027,3.62973,1.80596,0.000276625,0.000276625,0.000276625
12,855.518,1.7909,2.71123,1.5561,0.27112,0.42361,0.34295,0.15319,2.28351,3.43672,1.77053,0.000299035,0.000299035,0.000299035
13,921.644,1.77722,2.59934,1.57769,0.91275,0.40238,0.43214,0.18977,2.23206,3.03191,1.85474,0.00032088,0.00032088,0.00032088
14,986.447,1.82681,2.29455,1.57196,0.85991,0.43333,0.4356,0.18098,2.21926,3.22232,1.89457,0.00034216,0.00034216,0.00034216
15,1053.35,1.83219,2.33111,1.49522,0.31434,0.74306,0.47262,0.2188,2.20573,2.78483,1.86246,0.000362873,0.000362873,0.000362873
16,1120.02,1.83624,2.54549,1.57449,0.31311,0.69806,0.47002,0.20518,2.19699,2.70975,1.79265,0.000383022,0.000383022,0.000383022
17,1182.87,1.66823,2.27824,1.47699,0.29978,0.70704,0.47322,0.20245,2.15547,2.62764,1.73584,0.000402605,0.000402605,0.000402605
18,1247.57,1.71806,2.18012,1.44539,0.85613,0.3185,0.41485,0.19135,2.16232,2.72055,1.79881,0.000421622,0.000421622,0.000421622
19,1328.76,1.63258,2.19733,1.40708,0.22197,0.59603,0.37356,0.16053,2.20974,2.67159,1.83314,0.000440074,0.000440074,0.000440074
20,1412.06,1.65071,2.04622,1.44272,0.60267,0.2586,0.3748,0.14493,2.22853,2.52707,1.81091,0.00045796,0.00045796,0.00045796
21,1492.11,1.46341,1.85369,1.30691,0.35128,0.71429,0.43865,0.15227,2.3178,2.70321,1.894,0.000475281,0.000475281,0.000475281
22,1573.7,1.57379,1.76872,1.32231,0.3232,0.69444,0.46726,0.15792,2.18418,2.59901,1.7597,0.000492037,0.000492037,0.000492037
23,1654.29,1.62522,1.90803,1.42083,0.34633,0.65873,0.45842,0.18728,2.1291,2.44582,1.70262,0.000508227,0.000508227,0.000508227
24,1765.64,1.56168,1.87743,1.38379,0.32656,0.69702,0.4701,0.21188,2.093,2.31558,1.64728,0.000523851,0.000523851,0.000523851
25,1853.46,1.49774,1.88625,1.32131,0.71505,0.40754,0.48493,0.21663,2.14772,2.27976,1.65066,0.00053891,0.00053891,0.00053891
26,1961.86,1.46932,1.72701,1.3214,0.73142,0.46267,0.4537,0.19318,2.13276,2.56017,1.62592,0.000537285,0.000537285,0.000537285
27,2084.67,1.4387,1.79351,1.30903,0.45704,0.72123,0.46671,0.20695,2.04563,2.30089,1.62088,0.000530216,0.000530216,0.000530216
28,2182.98,1.43175,1.69669,1.28669,0.46173,0.72917,0.65831,0.29078,2.08805,2.14113,1.71552,0.000523148,0.000523148,0.000523148
29,2308.58,1.46249,1.69684,1.29976,0.41017,0.70833,0.64057,0.28,2.27606,2.31046,1.81997,0.000516079,0.000516079,0.000516079
30,2411.6,1.42483,1.7744,1.2722,0.50625,0.70833,0.63758,0.24926,2.34308,2.31307,1.83825,0.000509011,0.000509011,0.000509011
31,2508.46,1.54802,1.7161,1.33451,0.3518,0.66468,0.43917,0.18159,2.29095,2.26721,1.84068,0.000501942,0.000501942,0.000501942
